VHF	VHM	VVI	VVM	AHM	AVI	AVM	VAQ	VAJ	VAT	VAO	AFMQ	AFMJ	ADFMT	ACG	AO	HSM	HSCG
2.32	1.8	3.19	1.8	2.39	-2.47	-8.62	5.13	7.77	7.35	7.67	69	82	89	10	233	0.65	0.62
2.32	1.7	3.72	1.8	2.07	-2.54	-10.63	5.66	7.18	5.38	8.86	60	84	91	12	254	0.67	0.62
2.18	1.8	3.45	2.1	1.98	0.10	-10.45	5.83	7.27	6.56	8.86	63	84	83	13	254	0.71	0.65
2.35	1.3	3.34	2.2	1.9	-5.02	-9.54	5.93	8.59	7.6	11.79	86	95	93	18	250	0.66	0.60
2.67	1.8	3.35	2.3	2.72	-4.18	-10.47	5.37	7.38	6.98	12.66	90	97	89	17	254	0.66	0.56
2.26	1.3	3.32	2.2	1.81	-4.54	-9.49	5.76	7.29	7.6	12.35	80	91	83	18	269	0.63	0.61
2.54	2.1	3.82	2.1	2.99	-4.52	-11.58	5.93	7.79	7.85	11.29	95	97	93	20	246	0.69	0.63
2.49	1.7	3.58	2.2	2.57	-6.03	-10.85	5.88	9.39	6.03	10.88	90	105	90	19	237	0.69	0.63
2.26	1.2	3.59	2	1.71	-3.39	-10.88	5.17	9.39	6.88	9.78	99	99	88	17	241	0.64	0.60
2.5	1.7	4.2	2.3	2.14	-6.36	-12.00	5.18	10.06	9.24	10.91	86	94	86	17	269	0.68	0.60
2.35	1.8	4.37	2.9	2.4	-6.55	-13.24	6.11	11.48	8.95	11.56	78	93	80	17	285	0.66	0.60
2.46	1.7	4.61	2.9	2.34	-6.87	-13.17	6.4	10.74	7.37	11.51	84	90	81	26	277	0.62	0.58
1.64	0.9	2.09	1.1	1.15	-5.48	-6.33	5.18	7.8	9.12	12.17	87	96	93	9	279	0.38	0.36
1.57	1	2.11	1	1.24	-2.49	-5.70	4.8	9.3	9.3	12.04	87	98	91	16	290	0.38	0.35
1.65	1	2.07	1	1.14	-4.58	-6.27	4.77	8.43	8.61	12	84	88	85	5	289	0.38	0.32
2.85	2.5	3.71	2	2.91	-2.00	-10.03	6.7	10.35	11.48	12.86	87	81	89	15	258	0.74	0.65
2.94	2.5	3.64	2.1	2.94	-2.48	-9.58	5.94	10	11.63	12.59	85	85	87	21	267	0.71	0.64
2.94	1.8	3.67	2.3	1.81	-5.93	-9.92	6.98	11.63	13.61	13.85	89	85	85	22	262	0.77	0.70
2.4	2.4	3.53	2.2	2.33	-8.02	-10.09	5.02	8.31	8.66	8.16	90	81	81	24	234	0.59	0.52
2.35	2.2	3.58	2	2.2	-4.12	-9.68	6.05	8.82	9.21	9.23	91	80	83	23	238	0.58	0.55
2.5	2.1	3.76	2	2	-8.28	-10.16	5.64	9.24	9.69	10.16	99	78	85	18	233	0.63	0.57
